Mês,Temperatura Média,weather_code
Janeiro,26.89025,3.0
Fevereiro,27.266183620689656,3.0
Março,26.495558870967745,3.0
Abril,25.297680533333335,0.0
Maio,24.969887,0.0
Junho,23.145666600000002,0.0
Julho,21.32217212903226,0.0
