subtipo,data,total_chamados
Perturbação do sossego,2019-08-06,35
Perturbação do sossego,2019-08-07,35
Perturbação do sossego,2019-08-08,49
Perturbação do sossego,2019-08-09,55
Perturbação do sossego,2019-08-10,79
Perturbação do sossego,2019-08-11,46
Perturbação do sossego,2019-08-12,35
Perturbação do sossego,2019-08-13,13
Perturbação do sossego,2019-08-14,28
Perturbação do sossego,2019-08-15,30
Perturbação do sossego,2019-08-16,56
Perturbação do sossego,2019-08-17,82
Perturbação do sossego,2019-08-18,77
Perturbação do sossego,2019-08-19,35
Perturbação do sossego,2019-08-20,32
Perturbação do sossego,2019-08-21,30
Perturbação do sossego,2019-08-22,29
Perturbação do sossego,2019-08-23,41
Perturbação do sossego,2019-08-24,67
Perturbação do sossego,2019-08-25,109
Perturbação do sossego,2019-08-26,46
Perturbação do sossego,2019-08-27,49
Perturbação do sossego,2019-08-28,46
Perturbação do sossego,2019-08-29,43
Perturbação do sossego,2019-08-30,62
Perturbação do sossego,2019-08-31,68
Perturbação do sossego,2019-09-01,42
Perturbação do sossego,2019-09-02,32
Perturbação do sossego,2019-09-03,37
Perturbação do sossego,2019-09-04,22
Perturbação do sossego,2019-09-05,27
Perturbação do sossego,2019-09-06,40
Perturbação do sossego,2019-09-07,87
Perturbação do sossego,2019-09-08,70
Perturbação do sossego,2019-09-09,32
Perturbação do sossego,2019-09-10,37
Perturbação do sossego,2019-09-11,32
Perturbação do sossego,2019-09-12,50
Perturbação do sossego,2019-09-13,30
Perturbação do sossego,2019-09-14,85
Perturbação do sossego,2019-09-15,66
Perturbação do sossego,2019-09-16,37
Perturbação do sossego,2019-09-17,40
Perturbação do sossego,2019-09-18,30
Perturbação do sossego,2019-09-19,30
Perturbação do sossego,2019-09-20,50
Perturbação do sossego,2019-09-21,66
Perturbação do sossego,2019-09-22,56
Perturbação do sossego,2019-09-23,42
Perturbação do sossego,2019-09-24,29
Perturbação do sossego,2019-09-25,19
Perturbação do sossego,2019-09-26,19
Perturbação do sossego,2019-09-27,54
Perturbação do sossego,2019-09-28,66
Perturbação do sossego,2019-09-29,46
Perturbação do sossego,2019-09-30,31
Perturbação do sossego,2019-10-01,28
Perturbação do sossego,2019-10-02,41
Perturbação do sossego,2019-10-03,40
Perturbação do sossego,2019-10-04,57
Perturbação do sossego,2019-10-05,74
Perturbação do sossego,2019-10-06,66
Perturbação do sossego,2019-10-07,25
Perturbação do sossego,2019-10-08,20
Perturbação do sossego,2019-10-09,24
Perturbação do sossego,2019-10-10,33
Perturbação do sossego,2019-10-11,56
Perturbação do sossego,2019-10-12,46
Perturbação do sossego,2019-10-13,53
Perturbação do sossego,2019-10-14,37
Perturbação do sossego,2019-10-15,21
Perturbação do sossego,2019-10-16,25
Perturbação do sossego,2019-10-17,21
Perturbação do sossego,2019-10-18,42
Perturbação do sossego,2019-10-19,52
Perturbação do sossego,2019-10-20,50
Perturbação do sossego,2019-10-21,35
Perturbação do sossego,2019-10-22,30
Perturbação do sossego,2019-10-23,46
Perturbação do sossego,2019-10-24,42
Perturbação do sossego,2019-10-25,46
Perturbação do sossego,2019-10-26,46
Perturbação do sossego,2019-10-27,48
Perturbação do sossego,2019-10-28,22
Perturbação do sossego,2019-10-29,13
Perturbação do sossego,2019-10-30,6
Perturbação do sossego,2019-10-31,21
Perturbação do sossego,2019-11-01,41
Perturbação do sossego,2019-11-02,45
Perturbação do sossego,2019-11-03,36
Perturbação do sossego,2019-11-04,26
Perturbação do sossego,2019-11-05,33
Perturbação do sossego,2019-11-06,15
Perturbação do sossego,2019-11-07,35
Perturbação do sossego,2019-11-08,44
Perturbação do sossego,2019-11-09,52
Perturbação do sossego,2019-11-10,64
Perturbação do sossego,2019-11-11,38
Perturbação do sossego,2019-11-12,30
Perturbação do sossego,2019-11-13,38
Perturbação do sossego,2019-11-14,24
Perturbação do sossego,2019-11-15,48
Perturbação do sossego,2019-11-16,51
Perturbação do sossego,2019-11-17,57
Perturbação do sossego,2019-11-18,37
Perturbação do sossego,2019-11-19,30
Perturbação do sossego,2019-11-20,53
Perturbação do sossego,2019-11-21,31
Perturbação do sossego,2019-11-22,53
Perturbação do sossego,2019-11-23,56
Perturbação do sossego,2019-11-24,61
Perturbação do sossego,2019-11-25,24
Perturbação do sossego,2019-11-26,25
Perturbação do sossego,2019-11-27,18
Perturbação do sossego,2019-11-28,18
Perturbação do sossego,2019-11-29,28
Perturbação do sossego,2019-11-30,95
Perturbação do sossego,2019-12-01,77
Perturbação do sossego,2019-12-02,30
Perturbação do sossego,2019-12-03,26
Perturbação do sossego,2019-12-04,25
Perturbação do sossego,2019-12-05,27
Perturbação do sossego,2019-12-06,43
Perturbação do sossego,2019-12-07,68
Perturbação do sossego,2019-12-08,52
Perturbação do sossego,2019-12-09,26
Perturbação do sossego,2019-12-10,35
Perturbação do sossego,2019-12-11,32
Perturbação do sossego,2019-12-12,29
Perturbação do sossego,2019-12-13,54
Perturbação do sossego,2019-12-14,78
Perturbação do sossego,2019-12-15,52
Perturbação do sossego,2019-12-16,30
Perturbação do sossego,2019-12-17,30
Perturbação do sossego,2019-12-18,20
Perturbação do sossego,2019-12-19,28
Perturbação do sossego,2019-12-20,44
Perturbação do sossego,2019-12-21,41
Perturbação do sossego,2019-12-22,42
Perturbação do sossego,2019-12-23,13
Perturbação do sossego,2019-12-24,17
Perturbação do sossego,2019-12-25,20
Perturbação do sossego,2019-12-26,17
Perturbação do sossego,2019-12-27,36
Perturbação do sossego,2019-12-28,31
Perturbação do sossego,2019-12-29,37
Perturbação do sossego,2019-12-30,38
Perturbação do sossego,2019-12-31,19
Perturbação do sossego,2020-01-01,28
Perturbação do sossego,2020-01-02,11
Perturbação do sossego,2020-01-03,20
Perturbação do sossego,2020-01-04,42
Perturbação do sossego,2020-01-05,41
Perturbação do sossego,2020-01-06,25
Perturbação do sossego,2020-01-07,13
Perturbação do sossego,2020-01-08,22
Perturbação do sossego,2020-01-09,25
Perturbação do sossego,2020-01-10,32
Perturbação do sossego,2020-01-11,53
Perturbação do sossego,2020-01-12,53
Perturbação do sossego,2020-01-13,22
Perturbação do sossego,2020-01-14,25
Perturbação do sossego,2020-01-15,25
Perturbação do sossego,2020-01-16,21
Perturbação do sossego,2020-01-17,31
Perturbação do sossego,2020-01-18,79
Perturbação do sossego,2020-01-19,60
Perturbação do sossego,2020-01-20,50
