Mês,Temperatura Média,weather_code
01/2024,26.89025,Cloudy
02/2024,27.266183620689656,Cloudy
03/2024,26.495558870967745,Cloudy
04/2024,25.297680533333335,Sunny/Clear
05/2024,24.969887,Sunny/Clear
06/2024,23.145666600000002,Sunny/Clear
07/2024,21.32217212903226,Sunny/Clear
