Feriados,Temperatura Média,Tempo
2024-01-01,24.93,Cloudy
2024-02-12,30.74,Cloudy
2024-02-13,31.08,Cloudy
2024-03-29,24.95,Cloudy
2024-07-09,21.39,Cloudy
