Dia,Temperatura Média,weather_code
2024-03-30,25.398582,3.0
2024-03-31,24.440248,0.0
2024-04-01,23.875666,3.0
2024-04-02,24.95275,3.0
2024-04-03,25.513166,0.0
2024-04-04,25.317335,0.0
2024-04-05,24.804832,0.0
2024-04-06,24.721498,1.0
2024-04-07,24.511084,51.0
2024-04-08,25.744417,3.0
2024-04-09,25.981916,3.0
2024-04-10,25.80275,0.0
2024-04-11,25.66525,0.0
2024-04-12,25.002748,3.0
2024-04-13,25.66525,0.0
2024-04-14,25.55275,3.0
2024-04-15,26.3965,3.0
2024-04-16,26.986084,0.0
2024-04-17,27.454834,3.0
2024-04-18,23.873583,3.0
2024-04-19,22.356916,0.0
2024-04-20,22.256918,0.0
2024-04-21,23.279833,0.0
2024-04-22,23.673584,0.0
2024-04-23,25.5715,0.0
2024-04-24,26.888166,0.0
2024-04-25,24.842333,3.0
2024-04-26,25.031916,0.0
2024-04-27,25.698584,0.0
2024-04-28,28.517334,0.0
2024-04-29,25.723585,0.0
2024-04-30,27.267334,0.0
2024-05-01,27.925667,0.0
2024-05-02,28.406916,0.0
2024-05-03,27.004835,0.0
2024-05-04,26.261084,0.0
2024-05-05,26.181917,0.0
2024-05-06,25.242332,0.0
2024-05-07,26.3215,0.0
2024-05-08,26.509,0.0
2024-05-09,27.375666,3.0
2024-05-10,25.300667,0.0
2024-05-11,26.459,0.0
2024-05-12,28.1715,0.0
2024-05-13,29.096498,0.0
2024-05-14,24.998583,51.0
2024-05-15,23.263166,3.0
2024-05-16,24.275667,3.0
2024-05-17,27.611084,0.0
2024-05-18,25.806917,0.0
2024-05-19,24.661085,3.0
2024-05-20,25.248583,3.0
2024-05-21,23.533998,3.0
2024-05-22,24.098581,0.0
2024-05-23,24.627748,0.0
2024-05-24,25.531916,3.0
2024-05-25,23.1465,3.0
2024-05-26,20.642334,51.0
2024-05-27,21.381918,3.0
2024-05-28,23.473585,1.0
2024-05-29,21.79025,3.0
2024-05-30,19.9965,1.0
2024-05-31,19.7215,1.0
2024-06-01,20.723583,0.0
2024-06-02,21.600668,0.0
2024-06-03,22.533998,0.0
2024-06-04,21.419416,0.0
2024-06-05,21.194418,51.0
2024-06-06,21.481916,0.0
2024-06-07,22.259,0.0
2024-06-08,22.729834,0.0
2024-06-09,22.979834,0.0
2024-06-10,23.502748,0.0
2024-06-11,24.117332,0.0
2024-06-12,23.74025,0.0
2024-06-13,22.846498,0.0
2024-06-14,23.55275,0.0
2024-06-15,23.842333,0.0
2024-06-16,23.042334,0.0
2024-06-17,24.492332,0.0
2024-06-18,23.467333,0.0
2024-06-19,23.604834,0.0
2024-06-20,23.9465,0.0
2024-06-21,23.104834,0.0
2024-06-22,23.398582,3.0
2024-06-23,25.098585,0.0
2024-06-24,25.452751,0.0
2024-06-25,23.8215,0.0
2024-06-26,24.319418,1.0
2024-06-27,23.375666,0.0
2024-06-28,25.192335,3.0
2024-06-29,24.013166,1.0
2024-06-30,19.51525,51.0
2024-07-01,19.059,3.0
2024-07-02,20.306917,0.0
2024-07-03,22.742332,0.0
2024-07-04,24.273582,0.0
2024-07-05,23.569418,0.0
2024-07-06,21.469416,0.0
2024-07-07,21.488167,1.0
2024-07-08,21.71525,3.0
2024-07-09,21.390251,3.0
2024-07-10,21.944418,3.0
2024-07-11,21.925667,3.0
2024-07-12,22.079834,3.0
2024-07-13,21.406916,51.0
2024-07-14,22.138166,3.0
2024-07-15,21.061083,2.0
2024-07-16,20.234,2.0
2024-07-17,20.867334,0.0
2024-07-18,20.504833,0.0
2024-07-19,19.317333,0.0
2024-07-20,18.925667,0.0
2024-07-21,19.211084,0.0
2024-07-22,20.0465,0.0
2024-07-23,19.869417,0.0
2024-07-24,20.394417,0.0
2024-07-25,21.875666,0.0
2024-07-26,22.667334,0.0
2024-07-27,23.294416,3.0
2024-07-28,24.654833,0.0
2024-07-29,22.129835,0.0
2024-07-30,19.863167,53.0
2024-07-31,20.561083,1.0
2024-08-01,20.90275,0.0
