Feriados,Temperatura Média,Tempo
2024-01-01,24.925667,Cloudy
2024-02-12,30.738167,Cloudy
2024-02-13,31.07775,Cloudy
2024-03-29,24.95275,Cloudy
2024-03-31,24.440248,Sunny/Clear
2024-04-21,23.279833,Sunny/Clear
2024-05-01,27.925667,Sunny/Clear
2024-05-30,19.9965,Mainly Sunny/Mainly Clear
2024-07-09,21.390251,Cloudy
