Mês,Temperatura Média
01/2024,26.89025
02/2024,27.266183620689656
03/2024,26.495558870967745
04/2024,25.297680533333335
05/2024,24.969887
06/2024,23.145666600000002
07/2024,21.32217212903226
08/2024,20.90275
