Feriados,Temperatura Média,Tempo
2024-01-01,24.93,Cloudy
2024-02-12,30.74,Cloudy
2024-02-13,31.08,Cloudy
2024-03-29,24.95,Cloudy
2024-03-31,24.44,Sunny/Clear
2024-04-21,23.28,Sunny/Clear
2024-05-01,27.93,Sunny/Clear
2024-05-30,20.0,Mainly Sunny/Mainly Clear
2024-07-09,21.39,Cloudy
